pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
HUDCO-PFC,-4762.1650849999905,26,0.3846,-2.3,0.171962
IREDA-PNB,101.90286500000366,19,0.5263,-2.5908,0.094911
ADANIGREEN-JSWENERGY,-11711.81229999999,23,0.3043,-1.8538,0.354087
DIXON-KAYNES,901.5204999999969,24,0.4583,-3.6216,0.005361
CANBK-MAHABANK,2163.4595100000133,16,0.5625,-3.6016,0.00573
ADANIENT-TATAPOWER,-5005.619649999989,22,0.5,-2.0079,0.2831
GMRAIRPORT-IREDA,-3217.475154999982,24,0.4583,-3.463,0.008991
ADANIENT-IREDA,-4053.4323500000146,26,0.4231,-1.754,0.403526
BEL-NBCC,8689.081100000007,17,0.5882,-3.1333,0.024183
IRFC-TATAPOWER,-555.7416250000097,16,0.5625,-3.1231,0.024893
CDSL-INOXWIND,-468.96925000000556,20,0.55,-3.1944,0.02031
BHEL-SUZLON,3807.731084999983,22,0.6364,-2.6967,0.074618
RECLTD-SUZLON,649.0355499999805,17,0.4118,-2.5735,0.098599
RAILTEL-TITAGARH,1085.3228849999596,20,0.65,-4.0571,0.001139
IREDA-LTF,-1632.238604999984,18,0.5,-3.4602,0.009069
MARUTI-TVSMOTOR,3538.237500000001,14,0.7857,-3.2262,0.018515
HAL-SOLARINDS,-4195.700899999991,17,0.3529,-3.1708,0.021736
BANKINDIA-YESBANK,-5971.179380000003,13,0.3846,-2.8738,0.048482
BHEL-NBCC,-3709.7364399999997,19,0.4211,-3.2212,0.018792
CDSL-KFINTECH,-4012.9133500000116,18,0.3889,-3.8922,0.002093
CANBK-YESBANK,-771.8981099999983,24,0.4167,-3.5069,0.007811
CENTRALBK-UNIONBANK,-2294.375745000011,26,0.3846,-1.6769,0.443064
BAJAJ-AUTO-MARUTI,-323.54600000000573,18,0.4444,-3.4408,0.009643
MAHABANK-UNIONBANK,-50.16187500001797,23,0.5217,-2.676,0.078284
IOC-PETRONET,829.2482750000363,25,0.6,-3.1031,0.026327
COCHINSHIP-IREDA,1139.4041000000307,26,0.5,-2.8096,0.05692
CANBK-RBLBANK,-630.6605149999832,17,0.5294,-3.2725,0.016153
BDL-CDSL,-5609.314700000017,24,0.375,-2.7821,0.060872
NBCC-RAILTEL,4430.159714999974,15,0.4667,-4.1135,0.00092
LAURUSLABS-ZYDUSLIFE,599.7690500000226,22,0.5,-2.6176,0.08941
JIOFIN-TATAPOWER,5129.597190000002,17,0.6471,-3.3082,0.014515
